Accession,ALL 19769 TA+ Norel,ALL 406 TA+ (ML) Norel,ALL 4466 Norel,ALL 1245 TA- Norel,ALL 16125 TA- Norel,ALL 23368 TA- Norel,ALL R28 (ML) Relap,ALL 1234 ML,ALL 1305 ML,ALL 1421 ML,ALL 1425 ML,ALL 1486 ML,ALL 1457 ML,ALL 1256 TA+ (ML) Norel,ALL 1275 TA+ (ML) Norel,ALL 1101 TA- (ML) Norel,ALL 1319 TA- (ML) Norel,ALL 522 TA- (ML) Norel,ALL SH 6,ALL SH 12,ALL SH 15,AML 15 (PK) Norel,AML 19 (PK) Norel,AML 10 (PK) Relap,AML 9 (PK) Relap,AML SH 5,AML SH 13,AML SH 14,AML SH 16,AML SH 18,AML 17 ML,AML 25 ML,AML 11 (ML),AML 12 (ML),AML 5 (ML) Relap,"
"
X12447_at,1930,3232,2540,3560,5593,4410,6154,6937,3930,5188,4178,4029,3821,3662,2732,8353,5374,8204,11658,5188,7968,11229,8264,7037,9912,18426,11417,8011,11576,9324,9004,6900,10649,9298,8947,"
"
X13238_at,2248,1021,976,2126,1328,3273,1138,1731,1432,1743,1733,954,1548,1605,2562,2661,2762,1990,1135,983,1141,2242,1402,1220,1186,1524,933,581,1416,782,1145,1793,2569,433,1165,"
"
X13546_rna1_at,3535,3304,1484,4804,2742,7303,1426,4431,3107,4662,2805,2460,2111,2147,4243,3035,2141,2454,2858,2603,4079,1662,3294,2184,3046,3456,1649,1097,4499,1124,2576,3186,1914,1499,1765,"
"
X13794_rna1_at,2583,815,2626,1638,3215,6031,1420,2251,1492,2300,2465,1698,2201,2533,2416,3966,4754,2875,2771,1864,1164,2282,3097,3198,2705,1672,1939,1041,2188,2967,2973,4398,3088,1303,651,"
"
X15183_at,4243,5021,2970,6848,7251,16859,3718,8160,4595,2530,7518,4951,4311,5312,5371,7321,6622,6530,4800,3558,5111,3720,3728,4193,3292,5153,2563,1712,3662,8140,5239,7017,4627,5042,3403,"
"
X15341_at,4290,2867,4535,3359,4026,8949,3996,3688,3687,4084,3186,2884,3593,2866,3964,6479,6157,3730,2973,2199,4026,10390,4009,2856,3670,6082,2338,2788,3354,2462,4631,5829,5535,1876,3618,"
"
X15414_at,1999,1076,992,1443,512,3395,1700,1300,1281,1343,1576,1630,1185,745,1643,2011,1890,377,1360,1060,823,563,534,410,622,1234,656,615,582,838,540,1397,1097,867,634,"
"
X15940_at,16669,15068,19260,19110,13936,18157,17989,20024,22243,17469,20931,17550,19789,17745,16743,17405,17608,16873,14107,16268,15114,22089,17350,19963,19133,16243,22151,11640,19715,12885,20525,21966,17970,14178,22984,"
"
X16064_at,21116,31379,27912,25307,18740,19735,18269,19572,20080,18750,19048,21210,17396,22797,24447,21432,20060,21519,16524,29046,22289,22749,21741,23195,20072,22031,25270,20542,22200,23956,22242,13209,20907,25743,27947,"
"
X16135_at,3490,2196,1654,2303,2109,3900,2235,2643,1800,2195,1347,1572,2331,2312,2510,3512,1532,4860,1557,2003,2424,2913,3731,3652,2837,1842,917,1007,1613,2815,4093,2523,3100,2437,2928,"
"
X16560_at,4108,2121,3569,2534,2660,6266,1776,2028,2293,2471,2763,1507,2464,2685,3758,4505,4054,2103,1757,1941,1980,6214,2753,2918,2308,2332,1780,1397,1741,938,2907,4624,4058,1710,4404,"
"
X17206_at,22525,21262,26504,20899,13804,21018,25043,29493,24522,24754,27985,28903,29468,26810,23849,23992,26073,27652,36930,30459,15464,26414,23274,30525,24782,29391,32977,24128,30297,21819,27447,31305,23899,24678,14505,"
"
X51466_at,12044,6500,11000,8363,11824,11306,7033,16508,9352,9384,13489,14815,16511,14060,14070,14273,11967,16600,20513,10923,8558,11151,12200,10893,10117,12482,15814,3820,15036,15449,12730,12527,11708,8770,8882,"
"
X51521_at,3989,1870,2771,4818,941,3623,3649,4422,1206,1516,2349,3234,1896,1924,3837,5318,6247,6014,1907,1609,2503,1599,1818,1088,1150,1735,438,998,1070,1842,2001,1177,2122,1594,2409,"
"
X52851_rna1_at,11370,4627,8877,7405,6539,13949,8241,6826,5997,6693,6314,5079,4040,4525,8254,11096,10064,5707,7996,6313,7041,12110,8111,5845,6676,7574,4905,4642,7089,5715,7208,5394,11660,5958,6827,"
"
X52882_at,1127,504,938,1999,987,3928,608,1034,1182,831,1232,1095,603,641,1694,2651,2087,1543,721,414,592,253,1961,516,563,809,493,540,613,1020,916,1349,655,1558,736,"
"
X52966_at,8900,5474,7137,4948,5898,11472,2112,8124,8588,7301,7120,4698,6946,9811,7870,9550,9676,7097,6797,3607,6474,13574,10869,10509,10229,5077,6340,3699,6304,4885,9886,8689,6958,5362,5008,"
"
X53777_at,13517,8627,10133,14267,6648,12307,10049,10539,8968,10202,13021,11388,10193,14546,11668,12354,15326,10981,8171,10310,9138,13791,10683,9443,10749,10220,9984,4778,12868,9493,13147,11810,14577,8501,7816,"
"
X55715_at,15190,14143,14345,16216,10069,15228,19317,16765,14229,16359,16738,15417,16053,17198,16771,16111,17115,15265,19215,24508,15180,19683,17137,18380,16878,21066,27623,12206,24043,23017,17665,16313,17175,16076,12364,"
"
X55733_at,2260,2252,1216,2079,1588,1357,2658,2418,1709,1971,3092,2282,1918,3045,1033,4662,5599,3015,1984,2356,1817,1670,1925,2258,2286,6212,4282,646,2709,1918,2332,2362,1274,1241,845,"
"
X55954_at,15895,12164,18304,16241,13516,14719,15552,16352,11843,15950,15630,15575,16099,15441,16043,13746,14114,13330,14569,15710,15439,18521,15244,11531,14059,12433,14637,8271,18498,9152,16508,14631,15679,16694,13933,"
"
X56468_at,2689,2013,1524,2767,1628,3862,1642,2144,1495,1667,1660,1324,1616,1384,3136,3860,4312,2869,971,1274,1093,704,1688,1078,1617,1526,711,673,856,1515,1113,1816,1057,1057,746,"
"
X56494_at,2634,2771,2441,1168,1086,4187,1596,947,737,2976,2060,1585,2227,1989,2998,1605,3479,1242,2741,1709,2310,4849,3429,2218,3472,4433,3296,2367,1644,2969,3082,480,7096,3884,4962,"
"
X56932_at,21121,23717,21940,22200,21650,22605,23548,25633,25462,22725,21947,23204,24990,23434,24034,22005,21703,24748,22897,17082,23456,29380,21727,23708,21631,18239,22630,18706,20114,19227,23679,28067,20869,27836,18196,"
"
X56997_rna1_at,11777,8263,9950,10440,11687,14761,10520,11978,12415,9689,11226,8274,10779,15115,13111,12661,12879,11210,11853,4727,9466,18637,14445,11302,13661,12249,9912,9687,11762,8418,14478,11816,13098,14642,15098,"
"
X57346_at,1873,803,1010,955,308,1710,1286,1039,826,1094,987,750,689,982,1875,1777,1711,1591,1203,805,871,1272,2210,1074,1408,1445,654,933,907,864,1019,867,1299,585,1153,"
"
X57959_at,8650,5846,7789,8418,5549,9201,7224,5835,5148,5857,8909,5849,5332,7032,8418,7542,10236,7648,6063,8435,4298,7094,7644,5060,5946,6020,7199,4376,7730,6354,8520,6237,11503,6465,6915,"
"
X59417_at,3016,4646,2141,3090,3198,10565,5279,3686,3619,5420,3770,3972,2962,1076,3102,6609,6622,1438,2833,648,4913,1439,666,764,1683,1629,469,420,1151,1012,614,2284,1453,986,720,"
"
X59834_at,958,366,484,1220,668,1492,321,1178,848,581,341,385,315,371,973,5562,1670,1027,751,584,767,1294,1600,1192,1908,1847,939,772,1013,1187,1841,665,1373,3730,1146,"
"
X60036_at,4615,2515,3244,3867,3868,4723,3273,4348,2564,3294,2775,2226,3660,4434,6068,6922,6801,5408,5015,3298,2722,2178,5973,3851,4456,5772,2867,2274,2907,4150,3673,4655,4532,4803,3199,"
"
X60221_at,2126,1018,2124,1088,1647,3483,961,1549,1225,1094,1006,820,986,1238,1370,2732,1735,1358,1303,836,920,2084,1792,1649,2493,1658,949,760,1181,938,1673,1569,2806,731,2020,"
"
X60489_at,7396,3063,6715,5668,7361,12618,7585,5601,5204,3498,5692,3768,5462,6793,7070,9239,8825,7258,5554,4493,3746,9083,6455,5364,8446,7713,8968,3542,7692,8023,8291,7585,8343,7251,4123,"
"
X61970_at,1286,490,777,447,907,1428,854,1098,757,1002,566,385,813,364,446,1509,1027,501,746,813,526,915,284,372,389,1042,772,408,602,413,469,1145,1091,905,922,"
"
X62691_at,17558,14911,16811,13145,13820,18877,15050,16668,17472,14902,18107,14439,15052,20288,18439,17563,17902,17689,14854,9560,11443,21634,18942,16881,18202,12363,14536,9606,15621,10639,18241,20047,16086,10892,12858,"
"
X63527_at,19184,20415,25795,22761,14571,21771,19659,22967,22352,19410,22769,24084,19855,20688,19591,22537,20223,18234,23996,22348,24943,24527,19401,21912,20624,20501,19399,13532,20278,16825,22473,21379,20309,12690,23564,"
"
X64364_at,507,615,300,8780,1620,2026,336,1014,3271,836,693,662,419,585,1070,1384,854,817,1318,574,1677,1396,3413,1840,1288,4190,2219,1564,3713,1523,777,2045,1888,908,1431,"
"
X64707_at,8408,5803,11559,9983,5249,8051,10520,14670,8682,10279,9982,12634,10604,10126,9058,7582,10328,9134,10550,8149,7346,13447,7762,6567,7212,13972,16449,6651,10641,7989,10002,11197,7920,10478,8226,"
"
X66397_at,535,509,547,514,279,689,860,726,504,406,501,246,219,373,541,657,639,461,354,424,457,187,726,571,489,570,367,596,390,593,309,412,727,992,467,"
"
X66401_cds1_at,1735,1815,1585,1237,1758,3172,2229,1192,1100,2947,2072,1878,770,911,767,2009,2049,509,781,862,2432,1048,323,128,371,653,381,1149,618,266,540,452,1133,487,847,"
"
X67247_rna1_at,22121,15372,23731,21466,22186,22377,22334,16837,15919,15050,19690,14082,22918,22472,20753,23679,20157,19572,16219,23288,15538,24511,20843,23748,23841,20406,25793,12261,22793,15256,23954,21042,23929,29286,19641,"
"
X67698_at,992,813,446,1548,1033,2885,649,876,735,578,1062,1006,604,911,1122,1307,2077,1500,606,151,1174,7041,3981,1418,3218,810,1354,1344,1443,1033,1006,917,2861,683,2914,"
"
X68277_at,3987,14056,767,4298,1611,3650,12905,3088,3841,1719,7754,4034,8127,5119,3518,10019,6482,4496,713,1725,233,3267,7391,2236,4149,1540,992,6361,578,3927,8337,643,12101,4147,3424,"
"
X69150_at,20344,15015,26391,21267,21102,21945,22057,23648,19825,16354,24276,23425,25496,23428,21677,18219,22367,22180,24221,20636,23225,26046,23271,23400,22587,22398,28603,19071,24514,20885,25060,25272,22638,37997,22042,"
"
X69391_at,12458,7251,10196,10080,11038,12657,9905,9973,6792,7864,8465,8370,9419,11933,12319,12476,12079,10864,9591,8752,5109,12146,12641,8365,11280,13096,9237,5545,10736,9230,11073,11412,12922,12015,9742,"
"
X69550_at,2804,3826,3159,4073,2477,3959,4756,2894,1713,1942,1721,2357,2855,2879,5109,4537,3714,5679,3597,2477,3464,2811,6191,3302,4751,4117,2637,3514,2834,5210,3388,1923,4194,4825,3591,"
"
X71428_at,4631,4637,2376,4084,3042,2851,4857,3750,2312,5399,2674,2318,3064,4096,4553,4290,4717,3187,2978,2502,2203,2584,5142,3582,2502,3538,2028,2185,3023,4087,2594,2988,4315,6097,3067,"
"
X71874_cds1_at,1820,4246,830,1081,1853,3363,2044,2969,2019,4374,2588,2717,1990,2119,907,3838,4226,1778,1867,849,3207,3465,1152,645,1409,1406,937,2346,632,426,2136,1560,3260,2589,2796,"
"
X71973_at,1975,3213,1942,1800,1643,2934,2287,2404,2648,2517,2561,1819,1562,2640,2914,3377,2436,2049,2543,1042,1944,3863,3485,2194,3066,4131,2051,2747,2510,2689,3419,2749,3375,2643,1876,"
"
X72841_at,612,386,276,1450,268,2069,408,743,355,544,796,687,270,505,967,2401,871,667,209,327,602,285,664,382,409,1003,324,213,553,778,388,549,486,382,440,"
"
X73460_at,16446,16869,12135,13698,15588,17593,13495,17105,15145,14617,20202,16935,18574,20852,17121,17270,18602,19181,19989,19994,12391,13715,17701,19894,19297,19958,29079,11529,20716,16756,19103,17250,15969,12221,10805,"
"
X74008_at,1317,499,452,1075,1157,1917,472,1116,1019,932,651,576,906,1352,1471,1342,1933,1259,701,811,480,544,786,673,813,1535,434,346,613,383,420,1299,961,477,901,"
"
X74104_at,1359,572,1345,1364,1603,2061,810,1336,961,1046,981,934,812,1627,1725,2077,1963,2084,1205,878,1319,2036,2314,1041,1362,1346,1495,1415,1327,1254,1482,1764,2210,1282,1795,"
"
X74795_at,2792,2307,1213,2629,1689,2758,2151,3135,2598,3626,2409,1651,1062,1017,2551,2272,1507,1073,2968,3483,4560,1210,1922,1788,1950,3044,1875,2052,1976,1387,1857,1843,2221,1802,1271,"
"
X75861_at,1820,511,955,1211,1122,2386,310,737,658,760,979,407,702,1217,1449,1844,2467,1682,709,1120,1082,1082,1875,1753,1846,2632,1200,1023,1601,1129,856,969,2697,1306,1647,"
"
X76013_at,2124,924,1606,1775,1550,2784,1108,2628,1550,1713,1713,1672,1859,1775,2112,3988,2355,2188,2122,1493,2544,1989,2135,1460,2105,1708,2130,1360,1663,1653,1821,2445,2607,2803,1987,"
"
X77094_at,1370,774,368,351,392,961,358,1081,1211,621,592,729,689,605,790,1968,868,256,848,1514,716,1373,550,466,763,810,375,500,807,641,515,386,706,1694,1202,"
"
X77584_at,1180,485,1692,2220,2219,3848,3058,1119,1384,862,861,1017,1277,653,1823,3777,2517,1081,783,450,1270,2346,2363,2097,1465,1713,1739,1004,2645,3272,2130,3344,2541,1680,1568,"
"
X78136_at,7558,6232,5066,8518,5184,6415,4310,5358,3744,4849,2577,3726,3895,6380,8259,8033,8212,8618,6920,5366,5111,3325,9207,6784,10027,12028,5648,5344,8520,6549,4494,4937,5202,3543,4012,"
"
X79234_at,12625,13013,9893,11265,9540,15980,12643,14274,10761,12510,15839,11289,8615,15351,12779,15397,15155,12575,13615,11693,10808,17010,15626,12394,14529,13356,14035,11415,14195,11825,16129,12134,14458,10166,6125,"
"
X80199_at,1757,1105,1805,1065,1239,2920,1702,1178,932,850,936,1072,776,1234,1865,1809,2194,1617,1380,1297,1601,1391,2518,1178,1607,1488,864,1403,1019,1549,1220,1151,2011,3085,1593,"
"
X80200_at,1721,1443,1125,1580,857,1398,1792,856,1074,941,1502,1344,1469,3556,3084,1526,3602,1402,1058,1344,907,1018,2218,2369,3214,1097,913,1137,834,1289,1191,706,1936,2117,1288,"
"
X80822_at,14002,25158,20106,19165,26326,13574,19666,22430,27118,20213,15857,20574,19643,17180,17416,15309,14028,20211,30319,26329,28690,15369,14240,21332,13876,22225,26111,28910,21639,26247,19462,27058,13441,25857,20297,"
"
X80909_at,8097,5793,7195,5981,5024,9134,5553,7723,5213,6690,8658,4878,6338,7804,7621,9311,9928,6672,5359,4271,3172,7978,8186,6410,9077,9261,6185,3786,7273,5650,8365,6348,9361,4798,6273,"
"
X81817_at,3483,1342,1528,2848,1821,4138,1438,1175,1776,886,2401,2149,1348,1325,1831,4193,3901,2061,1667,1199,2511,2658,2457,1757,2502,1677,1755,1186,1294,2063,1714,1127,2288,2309,1832,"
"
X82456_at,3500,1132,1361,1808,1647,3334,1769,1585,1709,2222,1893,1494,1177,1974,2420,4102,4018,4299,1640,1769,2219,2809,2132,1647,2618,3060,1778,2339,2409,2095,2266,1421,3477,1946,3468,"
"
X83218_at,1433,1079,1010,1153,897,4105,900,1249,1420,1154,1754,1413,1126,911,1258,1212,2356,837,763,1009,1400,1936,1316,852,1465,1247,845,964,1062,643,1289,2332,1316,647,729,"
"
X87838_at,1724,687,1109,826,1365,2648,1300,1274,723,827,411,398,744,1297,2332,2440,1010,1122,818,587,960,1830,3401,1983,1424,1413,705,896,1216,1961,1607,1458,1937,3470,1232,"
"
X89750_at,742,801,704,920,489,1307,428,646,490,373,731,701,400,633,789,634,1222,336,394,484,780,201,1478,494,398,388,414,364,326,838,698,173,614,981,361,"
"
X91247_at,924,1016,948,1003,737,877,1410,605,781,1309,1185,343,536,726,835,1528,1223,903,803,1254,737,521,1299,911,1076,1080,1224,633,1034,1205,768,660,910,1510,1010,"
"
X91257_at,1580,958,1317,1233,1017,1557,1574,1119,1204,1439,1317,902,1110,815,873,3048,1728,660,1363,1181,892,1871,992,764,1031,1788,571,979,934,942,900,1030,1725,1415,1529,"
"
X93920_at,763,977,256,786,739,1881,397,109,1050,1037,1645,831,703,240,207,213,964,425,269,983,470,427,1125,382,1906,2361,379,593,799,117,1472,123,2493,639,871,"
"
X95404_at,12387,13129,7926,9628,6919,11899,16043,9296,6514,10814,9616,8716,11757,10329,12304,14438,13732,15592,10987,10014,11044,11695,13772,9294,14665,14505,8078,12982,13546,12991,13073,8158,17038,11662,13928,"
"
X95586_at,1116,613,584,671,569,1503,608,785,665,610,655,391,413,569,581,1114,873,211,826,952,775,739,873,583,681,1007,678,695,764,496,625,669,1021,989,718,"
"
X96484_at,1273,975,598,1129,806,1286,1222,688,680,876,834,701,615,1106,1039,1405,1070,783,1056,1251,960,1518,1399,1092,1145,1201,650,1156,886,1137,1126,445,1530,1941,1169,"
"
X97074_at,788,900,1158,1838,924,1853,964,1025,1245,1208,1162,1038,377,782,1167,2061,1572,1012,1325,914,1126,2127,871,655,722,2784,947,1375,1866,1200,2086,1219,3280,1726,1663,"
"
X99585_at,967,499,821,833,502,2224,782,1122,865,1526,749,853,638,676,1155,1348,1524,595,406,244,625,495,557,474,607,441,318,367,624,312,530,991,637,501,593,"
"
Y00281_at,1351,883,1005,1180,1847,1502,994,1300,987,1094,1121,1009,747,762,1041,1510,1364,1166,1023,1248,1804,1476,1346,1251,1117,2017,1273,1288,1693,814,1484,1716,2005,1745,1929,"
"
Y00282_at,1475,1136,1323,1729,2191,2846,1408,2194,1742,1433,1735,1588,1053,1435,2094,2612,2696,2484,1794,1797,1977,1962,2851,2355,2497,4067,2596,1400,2609,2462,2952,3433,2890,2223,1962,"
"
Y00433_at,7546,8149,8741,9176,12652,16129,5916,6410,12237,7156,7838,8085,5736,3298,5341,12719,11796,6284,11855,4405,19415,17753,10910,13818,15832,21734,6932,23494,9135,13635,17819,4709,18230,24106,14188,"
"
Y00764_at,1637,1057,1305,818,1664,3778,1565,1557,1394,1242,1075,772,1067,1021,1976,2341,1850,570,1577,499,612,3032,1365,1440,1586,2043,1387,976,2375,1300,1948,3084,1747,1257,1234,"
"
Z12962_at,16258,29371,20737,20122,31224,14170,20698,23075,32731,21749,18852,21811,22298,17855,21402,15194,14536,22977,33410,35344,35055,14776,16994,27481,13022,21609,28550,33163,23848,27480,21042,31953,15058,30016,33016,"
"
Z23064_at,1732,992,707,1556,745,1643,925,798,817,1135,727,823,710,913,918,1726,1674,846,911,906,767,379,735,703,620,1067,699,547,680,951,760,884,954,761,491,"
"
Z25749_rna1_at,8616,5636,6920,5274,6564,9698,6610,8882,7319,7824,9031,5625,8050,8152,7238,10188,12112,6748,8091,6064,5078,10671,8146,7490,12355,7473,8009,3780,8019,6562,10216,11671,8027,3993,5662,"
"
Z26876_at,14113,12675,18102,10827,7625,16527,11002,17095,17977,13978,12779,18019,19096,17232,14337,14827,15349,11860,13960,9306,20258,18501,16338,15747,13838,15166,14926,12388,16601,11866,17568,20708,14386,15642,14709,"
"
Z28407_at,8868,10078,6605,14149,8506,12515,9543,13628,12766,12469,22412,12554,12996,16627,11649,14941,18221,9087,15398,14167,11171,17626,10557,11654,13143,20719,21009,12082,20390,12861,15132,12962,17494,5522,8310,"
"
Z29505_at,3115,1643,2286,3177,1691,3927,1672,2053,1547,1285,1614,795,1265,2791,3331,4928,5714,2672,2109,1359,1176,2498,3154,1564,2532,2657,1517,1477,1427,2494,1685,1110,5167,1829,2974,"
"
Z37166_at,4181,3024,3387,2625,3034,6920,2555,3605,1737,3277,2850,3061,1460,2539,4539,4774,4939,3037,4303,4462,5714,3270,7724,3133,3941,5275,2724,2151,2834,2715,3246,2316,5584,8385,5439,"
"
Z48950_at,8463,15447,4337,13803,4910,13017,4300,5730,7638,4162,7460,8981,8995,15028,11375,9377,14199,10960,2419,3919,4888,6574,14087,14353,14470,4452,2574,4846,2015,9885,11879,4444,8993,12351,6612,"
"
Z70759_at,16514,26442,27044,23935,23012,15906,20680,22490,32421,24114,17659,23412,22388,19182,19808,16845,15095,19831,23329,30475,28845,16811,18146,24915,14763,17932,20183,26322,20757,19109,18797,21197,15138,45932,36084,"
"
AB002533_at,10933,20963,13900,10749,10616,14023,13312,18013,20287,16212,16227,14781,15779,17593,15032,12722,16025,12869,20081,22446,15462,17239,13242,17201,12818,15171,19259,14926,14041,12683,13662,18973,10370,12828,11954,"
"
AB006782_at,5096,6271,3419,3121,2149,4030,8932,3041,2182,4509,3289,3502,4274,2026,3122,3453,3657,6269,3185,4797,5027,4671,5528,3926,6391,6852,2388,6942,2377,4904,4755,2568,8038,6883,4411,"
"
D86550_at,579,444,153,1475,392,1940,186,932,814,395,417,566,179,747,1615,1226,1576,1056,197,473,597,220,1818,653,660,480,257,204,367,355,520,734,558,1585,470,"
"
J04182_at,854,598,559,1234,745,1797,782,1039,841,517,349,1231,564,1570,1591,2579,1947,3477,556,515,1039,2164,1874,1359,2117,1162,947,1375,1383,1887,1094,1206,1406,661,1566,"
"
L10413_at,1922,610,1220,683,1088,2427,955,1571,971,999,964,766,710,727,677,2709,2164,594,836,860,770,1412,718,539,764,1078,721,525,631,491,478,602,2731,1314,1403,"
"
L20688_at,14552,9762,10798,11579,11782,18263,16949,15223,16145,10724,13836,12496,16416,11182,12139,17277,18448,17061,11696,13539,16069,15796,9659,7339,12933,9952,10446,13810,19654,11844,14758,15309,19182,13931,16840,"
"
L49380_at,2763,3283,1608,2310,1647,2370,3651,1632,1091,1228,1133,1002,1367,2804,2927,2516,3575,2994,1964,1900,1672,1042,5216,2824,2646,1987,1444,1635,839,2646,1784,1610,1298,3982,1661,"
"
L76517_at,580,417,392,251,376,1386,373,479,540,486,508,275,218,160,303,538,568,369,327,247,561,372,575,452,681,689,292,479,467,450,93,254,1208,832,924,"
"
M16342_at,1430,849,1367,1396,1130,2624,765,932,872,979,987,1003,666,874,1234,2841,1922,1646,778,705,546,1057,1588,1261,1391,994,454,525,610,810,929,1164,1272,840,966,"
"
M93651_at,2392,1226,1206,1813,1489,3029,2599,1684,968,1015,1184,1043,1670,1151,2183,2811,2257,2636,1225,880,818,631,1716,1196,1627,943,746,571,612,901,1151,1436,1565,878,780,"
"
M94046_at,4353,4598,2114,3851,3656,4559,6034,4411,3278,3074,1701,1387,2843,2625,5673,4366,2210,4444,5394,3406,4056,2351,6919,3686,4413,5574,3793,3681,3603,6034,4016,3905,5093,7628,3957,"
"
X04526_at,2762,2059,1774,1807,1903,2244,2148,1952,932,2148,1240,1290,1749,1850,2746,4408,2840,4391,1318,919,1207,1974,2691,1617,2164,650,849,1366,1467,2130,1167,862,1727,1634,1297,"
"
X12671_rna1_at,3354,5832,2730,6575,4738,7509,5443,5867,4180,5995,4481,3520,5074,5618,7381,7967,6735,6714,4281,4804,3017,2629,6628,5929,5798,7033,4414,2540,5389,4534,5004,6576,4379,2841,2082,"
"
X56841_at,1370,1501,1354,2008,1664,2810,995,1419,975,1199,1836,3923,1021,4516,1579,2116,4165,4198,853,739,2844,900,1424,1025,1844,915,621,1486,889,2089,1069,1488,1870,837,2147,"
"
X65488_at,1245,1127,508,1313,1149,1968,1096,1587,956,1141,1099,711,841,1604,1847,2678,2458,599,679,504,577,561,1144,710,604,837,440,417,672,2041,1408,1499,1204,978,947,"
"
X72727_at,2182,1375,945,2899,1670,2363,1860,1109,1122,1463,1032,525,773,2837,4743,3425,3498,3124,786,1078,526,1087,3221,1601,1671,1671,589,754,892,2035,1722,1419,2140,1756,1454,"
"
Z15115_at,8444,4101,2427,2003,2893,9908,4020,4306,2600,3423,2886,2955,2490,1427,3263,5549,5098,1799,2219,2603,3739,995,2027,1142,1456,1463,1582,1072,1417,1153,1084,2175,1598,3494,1554,"
"
D86974_at,21011,15874,19660,10744,22039,14286,28849,29050,21633,6549,7958,13650,21486,13429,17061,13890,7538,15401,14966,24794,17455,5952,20880,20351,18938,15525,9267,10769,18444,25102,8212,3946,25367,71369,48374,"
"
AC002045_xpt2_s_at,2538,2018,3384,2163,876,3001,1946,2240,1874,1181,1806,1999,1703,1831,2284,2192,2096,926,1415,2263,1448,160,3197,2661,2282,1242,965,723,1224,2733,662,767,1876,7642,1911,"
"
D13413_rna1_s_at,17139,13120,13752,16646,13829,20940,23371,14780,12448,13750,18062,10973,15816,15619,15373,20162,16860,16698,12013,11502,12732,26868,20191,17617,20038,9813,13046,5780,11713,13175,22481,20695,20706,16355,15228,"
"
HG4541-HT4946_s_at,2215,2766,1263,2875,1555,2709,3447,1574,2028,1728,1511,945,2097,1666,2404,2711,1803,1881,2411,1434,1982,1197,2622,2260,2660,2729,2169,1554,2138,3151,1885,1732,2553,2518,1538,"
"
D28473_s_at,469,301,355,335,321,1133,692,820,473,376,357,244,297,217,267,968,741,305,337,548,264,261,282,209,316,469,169,176,214,270,255,415,431,593,134,"
"
M19311_s_at,6616,1207,3184,2700,6016,9819,2632,4977,3795,4088,2124,1140,1073,1125,3128,7365,6317,2301,4451,4990,4234,3247,2322,2723,4245,6712,2901,1962,4153,1549,2238,3462,7802,2683,5235,"
"
D49824_s_at,31086,42904,26196,37529,28123,23203,27112,20192,22347,35402,34741,42995,15586,28409,32358,29374,20980,40065,17193,27990,53064,14225,30946,20389,31442,20878,9788,41573,22551,28843,25685,24407,31585,17789,29775,"
"
M96954_s_at,606,591,772,529,500,965,394,367,406,461,409,277,396,636,787,1069,1037,917,187,352,381,168,1012,309,585,447,259,210,275,491,564,536,460,1209,623,"
"
D78577_s_at,4256,1544,1179,1688,1561,3840,1663,2089,2088,1620,1019,1132,1438,786,2087,4895,3152,5912,1335,527,1855,1955,988,585,1056,2706,1122,1118,2839,3925,1303,1362,2208,1482,1573,"
"
HG1322-HT5143_s_at,4557,2488,2336,2314,2973,8192,3246,1803,2086,3190,2903,2295,1547,1481,2196,3655,4035,2560,2022,2273,1550,2023,3169,1973,2970,2537,1527,1808,1703,1740,2580,2453,3262,1683,1587,"
"
X57351_s_at,16489,4137,29136,12046,15382,19976,22337,8271,19205,5065,11163,9199,9280,10121,9679,14076,18546,23721,7936,10560,13632,13573,18799,7904,7518,17889,3982,14991,10766,11118,7642,6383,24172,14341,21129,"
"
M14199_s_at,16528,14474,14398,14947,15085,16446,14240,16525,15217,17487,21830,15129,17400,17148,15602,16082,18012,13034,16759,16662,16967,19174,12459,16547,16395,15478,18361,8082,14496,11942,17973,19393,13278,8566,8887,"
"
U43901_rna1_s_at,18573,19768,17254,13481,11463,17185,18411,13831,15590,18675,20619,17706,19062,17129,15441,15818,19270,10084,16404,16397,11286,16071,16279,15719,18320,12238,19525,8067,13538,9926,15617,13681,15762,6156,6276,"
"
HG2238-HT2321_s_at,2097,1204,1316,1447,630,1229,2581,1646,1163,1307,1088,801,1085,1121,1117,1352,1918,926,1310,1892,1441,650,1515,854,1235,905,819,744,615,1183,815,575,1369,2971,980,"
"
U22376_cds2_s_at,3105,2037,1497,2105,2805,6996,2753,4240,3821,3686,2943,2809,2178,306,1374,8402,5032,1358,1188,2075,4961,407,2585,376,1238,2685,2295,562,2564,934,427,834,537,3201,417,"
"
X04654_s_at,3726,3599,2405,2138,2969,4180,4047,3295,2533,3040,2621,2753,2000,3340,5033,5013,3436,3118,3277,3257,2801,836,6439,1818,1904,2729,1788,1656,1846,3381,2488,1958,3883,10659,3813,"
"
HG2815-HT2931_at,10557,7975,4405,5150,9824,12175,7363,6544,9174,8408,4200,4092,6545,4825,9760,6774,10288,10490,6513,6095,8281,13359,9302,5352,6365,14848,5072,9915,5456,7178,9281,9545,11445,4944,8706,"
"
HG2815-HT2931_s_at,2089,2003,622,1652,2368,3385,1252,1726,3925,3393,2057,1872,1932,1947,2594,2702,3794,3685,1210,1547,2778,855,1270,1148,897,2565,1332,1319,1682,1541,1582,3438,1196,330,1566,"
"
