Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"
"
U53209_at,2410,1262,1290,1708,1337,679,1900,1792,1896,2952,572,2210,4567,1038,1643,958,861,725,1310,2136,1922,787,1914,874,1964,1676,1657,947,620,1024,1627,1747,1355,708,1154,1585,1842,1117,"
"
U54778_at,1965,1675,2614,1930,1752,924,1783,2234,1685,3856,1003,1154,4782,2015,661,1921,1345,1441,2620,1839,2190,1303,2976,1089,1694,2049,1146,1669,807,1139,1318,1438,1750,797,2053,2088,1142,1733,"
"
U56637_at,4531,3407,4063,3787,1810,948,2831,4639,3184,6071,2606,1561,5929,3269,1527,3710,980,1627,1517,2051,5561,2505,4132,1660,2378,3619,1156,1684,995,3268,1943,2067,1484,1256,2062,2547,1440,2994,"
"
U57342_at,2164,1834,1409,1849,2795,1342,2418,1385,1225,4868,944,1178,2658,899,1566,1493,2051,1461,1939,3000,2375,1435,3230,1827,2694,1828,1276,2636,2159,1707,3190,3953,2635,1597,2396,2932,2519,3202,"
"
U58682_at,11731,14484,14923,12169,9873,14495,9023,17453,11608,12607,12456,9132,15463,13237,11189,13713,15479,12218,9749,13271,10624,12573,15532,10005,12204,14156,12186,10164,8995,6994,12800,13115,14815,14215,9526,10391,11604,10771,"
"
U62962_at,3512,3167,5468,3415,1918,1853,4145,4876,4139,3672,3460,4104,10647,7152,2521,3891,2452,3392,2823,2807,3140,1790,4450,2630,4523,4295,2980,4379,1938,2424,2998,3971,4545,3734,3726,2533,2834,6850,"
"
U64444_at,995,793,1108,814,852,560,793,902,820,1249,827,667,1077,919,1084,897,759,842,538,987,2048,862,1954,954,1223,924,1092,912,651,1462,1114,1160,899,772,1259,765,974,1031,"
"
U68063_at,1335,903,1985,940,951,613,1946,1849,1534,2863,497,975,4176,2233,591,1941,1561,1046,438,2020,1167,837,1767,1027,586,1317,526,630,379,241,737,747,498,628,811,834,1131,890,"
"
U70735_at,1272,1132,1391,984,1160,620,912,1369,1076,2069,855,990,1899,443,579,915,1163,1227,1060,1294,1427,969,1515,1306,1046,1129,1238,862,649,62,1066,940,1135,588,1348,1073,1220,862,"
"
U72512_at,1898,1530,1646,1970,1834,1021,1376,1248,1909,1952,1712,1359,1537,550,1516,1192,1710,1650,2493,1835,2103,1612,2039,2027,1570,1718,1293,2212,1226,1778,1636,2427,2057,1015,1758,1876,2150,2720,"
"
U73379_at,1630,3025,1721,2115,1433,632,1539,2672,877,1590,2030,1019,1123,578,682,1310,853,889,1182,798,2108,1561,2375,2373,2773,1649,2610,1027,2260,2729,2085,1770,1685,782,892,1405,925,1706,"
"
U73824_at,3528,1848,4983,2175,4849,924,2794,3969,2416,4802,877,1020,7913,2738,1838,2441,1531,1717,2047,6372,5190,2242,5729,1705,4852,2008,2028,3145,1913,3066,2869,3448,2971,1942,3898,3086,4073,2735,"
"
U77718_at,730,639,1146,836,930,386,1398,1372,814,1558,365,797,3094,1256,451,1026,939,298,369,697,780,693,668,630,1159,702,484,933,901,437,529,1143,1160,604,385,622,795,871,"
"
U77948_at,1114,1685,1502,1278,1545,257,1054,2117,1571,2481,608,513,2627,916,757,2224,580,865,655,1238,1176,691,1166,402,1044,1220,698,546,769,405,407,610,613,484,438,517,1231,190,"
"
U78027_rna3_at,13706,8763,10422,5719,6730,9521,11960,9607,10143,15669,7935,9499,16991,15947,5744,10460,9694,12521,7814,9660,7703,4923,8411,8439,9051,9640,6228,10764,7360,6312,7651,8906,12201,13176,12696,6232,8087,10119,"
"
U79262_at,1013,1011,899,1068,1397,567,904,1179,895,1193,743,590,1319,302,558,1068,769,609,1018,690,1756,946,1324,941,796,1071,1043,697,817,755,927,956,796,365,813,885,781,1065,"
"
U82010_rna1_at,855,764,543,732,1151,396,582,592,648,1456,847,346,1023,426,411,1078,565,617,822,655,779,801,799,425,718,760,558,669,697,644,586,510,706,257,547,621,662,751,"
"
U86529_at,1067,1145,946,1024,1335,360,787,783,1039,1450,818,901,1455,543,818,909,1071,1096,1093,896,1260,661,915,654,808,508,830,1022,1120,904,1253,1446,1071,1164,964,706,1111,1601,"
"
U90313_at,1112,1275,1171,1211,966,859,1155,1368,1271,2027,992,468,1413,1334,707,997,843,880,830,2015,2292,1390,1920,1248,1084,949,1169,1133,1675,1497,1691,850,1382,1649,1360,1510,1299,2272,"
"
U90426_at,710,646,899,641,1049,353,894,992,758,870,371,722,1204,663,768,1100,411,854,747,1308,1561,937,1236,1680,2149,1197,1288,1548,1098,1748,688,644,1238,512,1935,822,987,712,"
"
U90909_at,800,491,872,564,568,349,1327,678,489,1122,524,606,1315,2062,1488,811,637,1036,633,1169,609,275,929,880,1252,640,631,610,428,967,714,1091,1081,668,1144,541,773,1906,"
"
U90915_at,3970,4276,5157,3536,3011,2517,2997,5713,4165,3891,3695,3455,9422,4026,3776,4752,2928,3849,2529,5018,4857,3618,7355,4508,6178,4979,2488,3253,2327,6688,6215,4475,4269,4585,8755,3496,3974,4718,"
"
U91932_at,896,808,1344,870,500,563,1707,1348,1521,1063,852,1080,1534,1339,211,1143,397,988,528,692,620,378,1174,883,781,743,342,740,351,1419,850,618,789,724,1658,799,449,1179,"
"
U93205_at,6722,5853,8056,4385,1758,3623,5120,6254,5609,5748,2697,1145,6607,94,1852,5507,2714,5491,1717,5853,5487,3010,8969,5959,6588,5198,2388,6082,1413,7022,6440,3527,6812,7557,9707,6195,6507,7865,"
"
U94319_at,687,184,641,255,320,153,1110,1135,913,1611,843,921,1521,976,159,580,311,348,204,1664,571,817,1607,986,374,783,771,271,250,339,305,388,660,351,328,383,962,279,"
"
U94586_at,1621,1607,2935,1325,1323,760,2416,2353,2188,2589,1479,1230,5438,5695,1620,2612,1134,1048,1274,3419,3854,1678,2436,2650,4119,3236,2109,1692,1748,2411,1559,1277,3191,3068,3217,2292,2836,1836,"
"
U94855_at,3785,2568,4749,2369,2313,2814,6266,6025,3966,3054,3509,2210,8388,2947,2160,3511,3656,3415,1947,3794,1425,2260,4940,2527,4712,2958,2126,2137,1281,1772,2800,2350,2346,2852,3301,2329,2581,2311,"
"
U95040_at,4220,3711,4150,5282,4695,1881,4691,5916,3922,7608,3041,3902,7648,689,2556,4744,2325,5673,4275,4951,4688,5457,8664,3891,7220,3677,5755,5342,3241,3606,2830,4977,5356,2600,2939,4259,4761,3724,"
"
U96915_at,641,601,2210,423,317,754,944,2202,1038,1234,564,546,2508,960,720,1408,1306,467,178,2175,1496,743,1633,1503,2369,815,673,569,319,892,1005,566,1590,1155,1275,711,1045,545,"
"
V00572_at,2933,2232,5538,2745,2866,5402,5584,5017,3391,11416,3666,1925,4657,4496,1114,4150,2480,2904,2783,6754,5511,4157,6813,3882,4468,4386,1917,3836,2589,5531,3221,2506,4298,3061,5472,4044,4525,5737,"
"
V01512_rna1_at,1383,677,5073,4182,1029,1727,5205,5480,2270,3927,899,2754,6408,5759,1672,3534,12448,7583,1725,5615,393,421,1414,2047,1039,774,179,2339,233,5859,4363,1371,8230,941,3990,405,3955,7372,"
"
X00274_at,19748,13356,13769,10249,21432,12115,22819,17537,15788,11024,24729,20761,17103,14610,22204,9988,14157,19293,9890,7657,1031,1749,1432,2274,461,3274,867,5095,14176,15600,13090,943,13273,9066,17423,16543,15834,17500,"
"
X02152_at,2824,4850,7811,5427,1893,4622,5028,6167,4964,11680,7236,5041,9237,2402,1508,7049,4960,4296,2822,6881,8645,5512,12325,6144,6884,6143,3638,2969,3282,7080,2899,2304,5188,5446,8551,6225,6163,7102,"
"
X02317_at,1598,2087,2236,1271,1371,6234,4869,2848,2163,3908,700,1907,3279,3871,648,2354,7059,1294,1038,2925,4253,1726,3106,2245,3077,3577,1850,1097,860,1529,2394,1762,2733,1186,1960,1492,2188,1384,"
"
X03342_at,21379,23566,23755,21306,22927,24324,22446,21837,24185,23450,22778,24184,18984,23719,22501,23188,24469,21799,24381,22493,20700,15301,22485,24288,23136,22332,23346,22799,22720,19777,22535,25397,21879,27491,20855,22588,23322,23130,"
"
X04085_rna1_at,1057,1655,2000,6132,775,294,1220,1990,1143,2472,220,1271,4002,1781,350,3970,747,773,115,1395,823,537,633,464,628,662,434,5880,2140,5171,2886,4680,3077,6001,5064,7260,2027,3070,"
"
X05276_at,1323,3723,2855,1875,3656,1928,1496,2673,2691,4018,1301,2048,5210,147,863,3461,1896,832,289,3229,1541,622,1102,570,718,1318,736,498,752,364,964,1904,1611,975,915,1552,2403,2399,"
"
X06617_at,19910,20830,22607,19700,23738,24502,21692,20364,22270,16500,16975,21930,13746,22892,22443,19823,23429,21466,22915,16862,19576,23246,19372,21778,20866,20015,21961,19923,16785,17591,20989,23034,19967,24754,17884,21153,21092,19320,"
"
X12447_at,1930,3499,6697,4879,1361,5472,5597,8104,5848,8688,8517,5473,9715,1676,1333,3317,3635,6591,4388,4851,3096,3703,8379,8794,4986,4222,2009,8226,4008,12080,9226,4845,3260,6033,8371,10576,7243,7725,"
"
X13238_at,2248,1774,2946,1300,990,1330,3383,2877,2668,2879,1707,1161,4748,5715,1303,1920,1463,1482,1188,3202,4450,1458,3142,2113,4149,2512,2137,1037,1161,1865,1645,1308,1802,2262,2228,1476,1682,1931,"
"
X13482_at,722,402,667,226,449,504,506,613,455,664,454,379,848,815,882,600,974,430,305,799,997,636,875,584,1155,601,734,572,351,586,374,747,725,390,633,487,457,474,"
"
X13546_rna1_at,3535,3145,4057,3002,757,2242,6595,6641,2125,6513,1169,2695,3638,3644,2476,4311,2840,2010,1650,2886,8396,5921,10991,9243,5546,3570,5378,1329,2154,5852,4751,3749,4239,3006,6806,2767,2982,2499,"
"
X13794_rna1_at,2583,3363,5697,2765,1906,1369,2681,4386,4146,10502,4332,2584,9567,3641,1920,4301,2432,1722,2406,6125,8613,3965,9144,5825,7146,7458,4427,4845,1175,2151,3019,2149,4956,4624,4589,3346,1495,2656,"
"
X15183_at,4243,9425,8511,5430,6676,5260,14431,10198,7076,11963,2410,6684,13111,13571,2983,6424,9711,5614,3189,8548,11549,5811,10093,13105,8437,6763,6963,5144,3238,3228,6031,4536,4861,4405,12581,4784,5556,6496,"
"
X15341_at,4290,4051,5084,3456,3232,2786,6259,6167,5794,5139,2688,3768,8686,5546,3118,5583,3388,4499,3000,6798,8822,4890,8537,7794,7803,5654,4765,2566,2620,4974,4808,4193,3603,4556,6618,4117,3943,2912,"
"
X15822_at,2095,1902,4269,1996,2575,1790,3450,3499,2595,3637,1758,1537,8151,5455,1038,2454,2296,2683,1639,5601,4911,2795,5748,4443,4682,2901,2128,2308,1291,2698,2519,2743,2459,4132,3601,2292,2366,1941,"
"
X15940_at,16669,19541,18931,21393,18734,19702,15582,18378,18787,19535,16728,17937,15903,25949,18277,18692,19643,17017,19872,18441,15835,15068,17661,17614,19220,18294,16014,19838,21787,15556,19067,20303,17677,20810,18198,18344,18031,19897,"
"
X16064_at,21116,22535,22059,25787,28069,23238,21759,20200,20830,21118,17371,21564,18383,23336,23347,23942,24476,20942,19968,21199,21903,21473,19719,19534,22264,21121,23419,22739,23874,22307,21088,23339,20091,19339,21211,20569,22205,22700,"
"
X16135_at,3490,2535,1419,3394,3061,1569,3570,2518,3388,5651,1875,3401,7060,2667,2181,2472,2098,2428,2387,3312,2656,2437,5306,3284,3173,3069,2455,2131,1837,2527,3103,3305,2861,2004,2486,2879,3411,2684,"
"
X16560_at,4108,3023,5874,1828,1701,2229,3402,5239,4513,4403,3827,3846,8945,8932,1886,3325,3133,5062,2060,2874,5518,2877,6133,3920,4745,6187,3977,3379,3056,2285,2682,2534,2142,4220,4835,2775,2816,2191,"
"
X17042_at,177,392,7972,403,140,5252,2408,2133,1232,1150,1232,1519,180,1912,354,1687,3711,1751,290,3460,416,597,848,1094,1343,2525,179,8521,3628,10620,8477,1285,7857,8860,11000,5848,3259,8849,"
"
X17206_at,22525,24663,27143,29490,25854,29510,21499,24111,24228,23984,28111,23940,20650,17827,24089,25469,24587,25363,27322,24045,21949,29898,23587,27532,25963,24068,25460,24419,27110,21561,26294,29164,25143,27315,23075,27501,24711,26708,"
"
X51466_at,12044,13014,15389,15936,10863,7788,12270,12687,12413,11798,13824,13402,13964,3736,13276,14634,13341,12052,7139,11970,10112,10185,12892,13247,15691,13296,11981,12730,9141,10813,12303,14201,11694,9637,11770,12533,11888,12074,"
"
X51521_at,3989,3637,3245,3321,4252,2952,4956,4438,2005,3780,3429,2568,4758,2264,11799,4330,2358,3872,2065,2774,3692,2272,8349,4432,7186,1806,1491,990,1009,1446,1198,1460,2345,792,2579,1001,2039,3312,"
"
X52851_rna1_at,11370,10577,13723,8535,11070,6001,10173,13382,11270,12818,8316,6452,13603,7740,4060,12022,6613,9410,5971,12714,17961,10909,15427,13268,13033,13239,10787,7243,6648,10299,8232,6674,9504,7227,11764,7805,7943,7042,"
"
X52882_at,1127,1159,2041,636,1085,343,2466,1761,1012,2329,756,1095,3789,2126,882,1608,1113,511,621,1709,1498,782,2453,1765,2068,1894,890,1096,610,1011,850,1461,1321,832,2795,808,893,925,"
"
X52966_at,8900,9961,10216,7663,6539,5576,5740,9648,9953,8123,7578,8795,12861,13268,7646,8162,9670,7904,2981,10842,9648,7123,10764,9517,6339,10611,8105,9759,7420,8480,9213,12475,10958,5914,9997,9136,11471,10859,"
"
X53777_at,13517,12530,16087,5887,9639,10990,14547,14177,15577,15487,8326,14594,17884,15679,9341,13448,14106,13504,11132,13586,7365,5316,13964,10317,14289,15205,6057,14388,8504,5591,13339,15952,12718,12779,12920,10187,11175,10619,"
"
X55715_at,15190,16832,18566,12243,16439,16618,15762,16605,18452,17747,16910,16485,15328,13202,14975,15259,17430,16575,21163,12910,14508,13407,16947,17451,15079,17078,10695,18742,15641,16744,18880,21400,18195,19299,17801,16870,16011,19864,"
"
X55733_at,2260,2432,2687,1875,2836,2369,2625,3282,3281,4111,3970,2863,8001,3875,1723,2068,1804,4456,3156,2392,1336,2164,6181,2161,3527,3049,1542,2707,1084,1353,2951,2046,4194,2487,3076,2970,3647,3262,"
"
X55954_at,15895,16878,17483,14180,15676,16422,15839,14445,16909,15351,13991,17804,14882,18850,15888,15137,15363,15302,18691,15047,14751,12273,15076,15817,16938,16363,16110,15655,13433,13902,16131,16650,14811,16576,15459,14961,15428,14807,"
"
X56253_rna1_at,1123,1309,1316,1245,1020,807,1071,1308,1033,4051,1138,1324,2110,562,928,1082,858,774,1454,1552,1842,921,1339,615,826,1516,842,1495,1481,1830,1242,1487,1107,1875,1031,1595,1644,2102,"
"
X56468_at,2689,1894,4091,1545,2011,1521,3147,2927,3089,4059,1641,1881,4738,4687,1667,2657,1685,1114,1232,3072,4172,2133,5838,3043,4143,3041,2243,1220,1108,1378,1862,1618,2105,1280,2611,1644,2064,1916,"
"
X56932_at,21121,22197,22414,25127,25435,22288,21630,19980,24893,20206,20749,23282,20202,25685,23344,22077,23918,22778,24162,21146,23195,24183,21725,24325,23551,23816,25169,22183,23306,20301,21726,23389,20881,22387,21321,21078,22941,21705,"
"
X56997_rna1_at,11777,13358,13239,12063,10007,8309,11219,15412,14594,11749,10134,13208,14517,19796,11148,12534,11803,14071,9596,13550,13407,12392,13532,15077,13016,14125,11629,13430,10885,13729,11059,12708,12507,10360,13936,13394,14362,12351,"
"
X57346_at,1873,2231,3229,1918,1728,965,1328,3714,1393,1924,615,583,2360,1858,812,2699,1345,1278,680,2057,2550,3010,4118,1114,1170,2634,1647,1168,875,2288,2051,1316,1121,1193,2038,1961,1999,1720,"
"
X57959_at,8650,10787,12331,6650,5964,5458,9355,9030,9582,13423,8811,9498,15287,8450,6926,9179,8720,9549,6119,10783,6293,3840,9862,9371,9857,10192,5875,9696,7016,5661,7143,10779,9292,6899,9625,6688,6689,10878,"
"
X59417_at,3016,3821,5216,5527,2073,846,7743,7288,6084,2454,1273,6483,7626,5746,699,3840,3877,3262,1810,3424,7721,4194,7780,5206,6540,1756,2461,782,490,1650,528,99,1203,1561,1628,1783,1214,1582,"
"
X60036_at,4615,4858,6391,4129,3929,2447,3099,6915,5539,5873,3681,4513,10233,3722,4826,5403,2318,3472,3357,4999,4415,2937,7573,3851,5075,4105,3720,4650,2882,4446,5111,5984,5205,4336,5155,4356,3970,4772,"
"
X60221_at,2126,2160,3061,2286,1214,1191,1819,3211,2590,2048,1339,1500,4702,2903,949,2424,1323,1478,808,2651,3331,1836,3699,1862,1955,2678,1785,1434,728,1762,1795,1734,2033,2039,2906,1893,1935,1879,"
"
X60489_at,7396,8151,10567,6497,6305,3664,7182,11307,10062,13327,7170,8006,14720,19176,5469,10353,7332,7677,7948,7655,7188,4735,12002,8116,13283,12445,5326,12400,9141,7065,8725,11181,13339,9959,10116,7147,8936,11370,"
"
X61970_at,1286,1354,1566,846,617,452,903,1865,1535,1763,1104,805,1923,293,305,1184,600,612,663,874,2111,1262,1399,816,637,1060,805,617,656,747,574,464,627,646,718,670,468,477,"
"
X62055_at,2414,3298,3785,1683,1062,738,1085,2709,2325,1996,844,581,1735,223,431,3143,424,1413,791,2225,2094,1696,3714,1320,1242,3893,987,3111,882,2260,1079,522,964,1753,2268,2872,2487,1249,"
"
X62691_at,17558,18403,18893,14691,15938,13729,16268,18585,19518,18721,19468,20026,15426,18597,17077,19061,17685,15453,13247,18299,18925,14762,17718,20076,19657,18997,16263,19734,13008,16247,18529,21211,18556,22223,18521,16525,20589,19626,"
"
X63527_at,19184,23086,22787,23443,24579,23022,20438,21296,21241,21977,18874,20045,19551,20337,23477,21318,23876,19039,22710,20867,20113,22405,21373,20666,22234,21834,24774,20521,22246,20153,21135,21712,19777,23198,20703,20908,20610,20528,"
"
X64330_at,1000,1213,1425,994,843,235,1452,1201,789,1251,685,719,2229,413,273,1083,535,813,628,1212,1480,656,1531,810,796,1014,480,779,461,859,718,551,657,230,512,843,919,740,"
"
X64707_at,8408,7491,9729,6500,8321,11335,8225,9132,10997,8999,8509,9416,15594,12191,4689,9874,5545,11024,11235,7944,6322,6175,9400,10540,8491,9850,4396,9942,7384,7058,7363,8831,7962,7193,5319,6710,8178,8768,"
"
X67247_rna1_at,22121,24116,24471,23569,24961,22805,22140,23118,25435,23798,21446,24886,22440,29644,21561,23256,22814,22486,25114,23042,23877,23810,22514,25131,24881,24793,24311,24896,23847,20451,23674,24452,22388,24872,24350,25810,24508,22816,"
"
X67951_at,4144,5380,7330,7604,4708,1762,5863,10739,5100,1127,3663,3712,7821,1006,430,12722,3468,5968,3865,989,1479,1715,3656,1427,2735,1720,784,1670,699,797,634,305,2440,686,2053,1317,7233,480,"
"
X68277_at,3987,2825,7373,5648,7819,2162,5028,7081,4960,3236,859,5501,16079,10631,7516,8351,17076,9977,4920,6021,1854,1458,4562,4171,2545,2624,1043,5058,639,7331,8203,3902,13157,1422,7224,1007,8209,8432,"
"
X68733_rna1_at,550,763,305,707,1100,388,329,218,686,1370,529,531,361,346,358,477,341,350,965,425,579,617,885,455,358,429,660,387,519,809,717,460,484,229,356,782,1104,1038,"
"
X69150_at,20344,21956,23571,25618,22246,22321,21599,21069,23515,22465,24083,24158,17808,27652,21500,24400,23935,21167,24107,21055,21494,20086,20951,22888,23974,22066,20414,23354,22852,20907,21493,24854,21847,26072,20852,24393,23699,23734,"
"
X69391_at,12458,12727,14929,11890,10823,7975,10950,11904,11960,11175,11478,12962,16568,12083,9599,13622,6788,10420,13902,12421,12935,9771,12336,9508,14687,12895,11015,12412,10070,11305,11971,13051,11828,10632,11467,12585,12988,9668,"
"
X69550_at,2804,3012,2529,3167,3720,1588,4811,2305,3010,4206,1756,3051,4497,783,2804,2939,1242,4004,3053,4081,3690,3287,4859,4328,3998,2759,2157,3758,2503,7095,3716,3808,4186,2166,5908,4529,4593,5961,"
"
X71428_at,4631,3243,3397,4423,4849,1468,3098,3478,3906,6431,1536,3023,8307,2429,3031,4179,2748,2950,2808,4481,5364,4966,6074,5161,4460,4624,4806,3722,3246,5065,3824,3332,5848,1549,4634,4521,4715,5299,"
"
X72841_at,612,641,954,258,260,537,1917,1208,820,1788,687,304,1586,700,273,925,686,548,287,713,648,554,1486,627,882,1074,505,537,384,399,673,828,1028,752,406,507,568,367,"
"
X72964_at,1283,662,734,499,917,1096,1067,704,737,1017,439,307,992,627,381,871,557,562,655,569,1021,401,1247,711,555,680,890,623,476,452,561,498,642,382,654,723,741,638,"
"
X73460_at,16446,17335,20994,19861,15406,17681,16966,19412,21090,19094,21572,19685,18069,13573,17340,18841,18956,18366,16954,16711,15984,16798,19623,21461,18921,18184,20602,19296,16062,17993,18254,20483,19476,18630,17818,18676,19530,17974,"
"
X74008_at,1317,1016,1927,651,796,547,1469,1908,1576,1909,1360,1191,2906,3824,1104,1146,569,776,691,869,1531,1162,2207,1393,1413,1586,1410,610,533,1173,929,855,902,731,1452,882,906,440,"
"
X74104_at,1359,1287,2055,1199,1469,635,1525,1805,1803,2631,1598,1347,3531,605,1018,1962,1017,1288,858,1694,1848,1043,3918,1634,3037,1794,1203,1612,1247,1989,1341,1433,1478,1477,2668,1640,1560,1456,"
"
X74795_at,2792,1681,2557,1681,1589,1382,3242,2868,2092,5967,1889,1528,2984,1068,1103,2133,1378,2550,1411,2755,3184,4786,4262,3920,2463,2109,1938,1496,1574,2112,2975,2950,3525,2112,1916,1980,1341,2472,"
"
X75861_at,1820,1322,1614,878,1181,916,1686,2108,1289,4367,947,1192,2634,317,928,1969,1030,855,438,2189,2232,949,2723,1499,2110,1538,1267,1214,791,3090,2486,1981,2067,1749,3259,1950,3026,2042,"
"
X76013_at,2124,2182,2861,1823,1938,918,1664,3025,2416,2408,1749,2044,5709,979,1297,3009,1296,1945,1698,1825,1354,1346,713,1624,2369,2569,1621,2281,1738,1844,2175,2460,2039,1847,1994,1594,2255,1284,"
"
X76770_at,1553,1417,706,1297,1563,620,773,711,640,1521,441,790,1091,347,609,921,603,778,1152,839,1409,976,1006,830,527,989,811,1058,1002,749,718,820,1062,371,821,1263,1187,1573,"
"
X77584_at,1180,1335,2196,1110,834,1465,1810,1678,1661,3860,1856,1462,1086,3640,455,1431,1775,951,979,2216,3245,2021,5311,3924,4614,2889,2650,2620,1695,1700,2054,1427,2377,2375,3781,2760,3366,3435,"
"
X78136_at,7558,8575,8059,6863,6360,4698,6708,10561,6012,12425,7282,7881,13299,1945,7591,9366,7250,5036,4403,7993,7271,7201,12224,9459,8723,5443,6408,7943,4159,9334,10464,14023,9273,6924,11871,6925,8322,9086,"
"
X79234_at,12625,9942,16848,9997,10576,12033,14192,16602,16257,15725,15092,13226,16296,20182,12314,14486,16802,15654,13001,11891,10231,9564,15437,15498,15715,14333,7768,15894,10298,13567,15964,17958,15522,18645,15622,10825,13951,15330,"
"
X80199_at,1757,1721,1685,1851,2338,609,2306,1612,1457,3058,1161,1269,3389,2136,1272,2121,1102,1455,1576,1607,2187,1424,2258,1451,1775,2021,1732,1333,1399,1872,1343,3037,1747,1039,1378,1387,1835,1627,"
"
X80200_at,1721,1753,1934,1762,2525,1281,1154,1260,1376,1598,1469,1041,2936,659,3848,1681,1756,1048,1667,2254,3071,1399,2964,1830,5347,1428,1521,1729,1308,1755,1128,2542,2757,1091,1540,1753,2491,2070,"
"
X80230_at,659,902,880,873,818,212,1855,1396,1696,704,235,1565,2471,261,617,1052,622,1266,755,498,554,312,312,587,605,563,325,491,264,469,319,269,393,273,639,351,788,366,"
"
X80822_at,14002,14490,16640,22242,17197,21201,17001,13074,16362,12966,16561,17232,11286,9673,18212,15518,16700,15796,20629,14512,15718,23235,13821,18876,16326,13925,20642,15084,21888,17075,15099,16906,14566,20054,12633,18740,15073,14937,"
"
X80909_at,8097,10165,10857,7281,5257,5791,5327,11078,9891,14728,5892,8542,14808,19055,6530,10136,8513,7887,4959,8988,6633,5848,11555,7477,9580,8921,6182,10031,7069,6038,8508,9352,9169,9133,8163,6450,8292,6999,"
"
X82434_at,1935,1715,1323,824,1124,1754,1671,1036,1274,1491,406,1387,1571,449,1311,1001,1513,968,1192,1451,996,1024,1474,1556,932,1285,1242,1162,454,1485,2312,2505,2275,1015,2582,1470,1789,2111,"
"
X82456_at,3500,1616,2603,1448,1547,694,3586,2458,4277,9742,2904,2081,5052,2494,1205,1898,663,3538,1177,2698,2682,1474,4026,1705,2599,4138,897,1658,1050,2603,2051,2329,1712,2002,2734,2356,2546,1006,"
"
X83218_at,1433,1603,2255,984,766,3263,1437,2190,1544,1465,1010,1056,3560,3696,881,2233,3065,1454,727,1536,2048,1388,3059,1367,2049,1798,1387,1184,1009,1528,1366,1245,1392,1582,1822,1543,1284,896,"
"
X85372_at,333,857,1785,430,394,436,864,1797,1125,1101,775,773,2406,1645,447,1215,694,794,478,1183,2183,1228,2283,1609,1683,1216,1135,421,298,761,658,479,719,861,854,612,488,710,"
"
X87838_at,1724,1481,1270,1572,1260,379,1988,1720,2085,2112,1374,2061,1488,2067,1450,1308,691,781,1899,1499,1216,572,1409,824,1794,1326,935,1182,916,2236,2939,1949,2570,599,3795,1615,2021,3448,"
"
X91247_at,924,1153,975,1186,1223,536,746,1435,1039,3028,990,797,1978,898,744,1225,1104,736,1271,1026,1508,897,1355,814,1242,1494,914,1029,836,691,1480,1831,1003,784,803,1058,977,1352,"
"
X91257_at,1580,1596,1689,1371,1428,458,1148,1455,1764,2024,1149,1563,2467,903,1076,1476,1115,1608,1575,1045,1243,1242,2151,1406,1500,1385,1136,1223,1072,937,807,1522,977,723,1206,630,905,701,"
"
X95404_at,12387,12183,11820,10573,12244,9264,10020,12151,13424,17529,7676,8018,14245,6768,8016,8173,8931,14746,12221,11446,15000,15237,16204,16445,12872,11905,9738,10802,8105,17347,13928,8840,9379,9110,17292,12236,12701,11383,"
"
X95586_at,1116,1229,1659,959,1007,469,899,1114,908,1283,1070,429,1534,588,417,1021,571,653,851,510,592,515,898,476,716,869,436,839,752,759,601,762,918,514,715,633,572,962,"
"
X96586_at,513,594,791,552,554,106,895,541,573,2964,192,427,1327,477,351,833,185,302,348,510,696,350,836,385,391,696,310,724,454,569,378,402,471,187,481,401,711,915,"
"
X97302_at,789,757,428,1239,1595,323,417,390,764,1162,611,526,706,367,538,587,631,550,1256,488,868,522,837,576,433,709,909,828,901,695,1131,1756,809,626,566,599,770,1182,"
"
X99585_at,967,920,1299,702,818,671,1097,1360,806,1150,729,749,1655,399,339,1077,690,511,535,1031,1428,1248,1509,1128,1320,976,867,556,452,507,695,481,766,439,810,738,1118,548,"
"
Y00062_at,1122,1747,2700,1414,358,347,185,2582,1078,4988,1476,276,940,367,128,3269,118,391,190,2231,2597,1260,2624,1029,728,3881,273,838,355,1577,1440,1534,781,1156,1413,600,1414,1468,"
"
Y00281_at,1351,1389,1283,1576,1196,1072,1590,1392,1253,3101,697,1516,2274,1020,712,1853,1021,1227,1149,1925,1881,981,3441,1323,994,1343,600,1394,2837,2031,1636,1278,1278,1182,1170,2274,1413,1133,"
"
Y00282_at,1475,1521,2417,1418,1107,1212,2435,2844,1382,5095,1478,1741,3688,1110,508,1660,1364,2968,1106,2651,1762,1278,3933,1564,3369,2957,941,3109,1642,3550,2767,1395,2452,2391,4926,4560,3348,2221,"
"
